Energy,CT Energy,Model Name,Lower Coeff,Lower Constant,Upper Coeff,Upper Constant
70,80,symbia t16,0.00020448,0.1929,0.0001621,0.1929
70,80,symbia t2,0.00020448,0.1929,0.0001621,0.1929
70,80,optima ct540,0.00021323,0.1929,0.00017059,0.1929
70,80,symbia t-2008,0.00020448,0.1929,0.0001621,0.1929
70,80,symbia intevo 6,0.00020448,0.1929,0.0001621,0.1929
70,80,symbia intevo 2,0.00020448,0.1929,0.0001621,0.1929
70,80,symbia intevo 16,0.00020448,0.1929,0.0001621,0.1929
70,80,symbia t6,0.00020448,0.1929,0.0001621,0.1929
70,100,optima ct540,0.00021304,0.1929,0.00020457,0.1929
70,110,symbia intevo 2,0.00020538,0.1929,0.00020827,0.1929
70,110,symbia t6,0.00020538,0.1929,0.00020827,0.1929
70,110,symbia intevo 6,0.00020538,0.1929,0.00020827,0.1929
70,110,symbia t-2008,0.00020538,0.1929,0.00020827,0.1929
70,110,symbia t2,0.00020538,0.1929,0.00020827,0.1929
70,110,symbia intevo 16,0.00020538,0.1929,0.00020827,0.1929
70,110,symbia t16,0.00020538,0.1929,0.00020827,0.1929
70,120,optima ct540,0.00020841,0.1929,0.00022125,0.1929
70,130,symbia intevo 16,0.00020553,0.1929,0.00023191,0.1929
70,130,symbia intevo 2,0.00020553,0.1929,0.00023191,0.1929
70,130,symbia t6,0.00020553,0.1929,0.00023191,0.1929
70,130,symbia intevo 6,0.00020553,0.1929,0.00023191,0.1929
70,130,symbia t2,0.00020553,0.1929,0.00023191,0.1929
70,130,symbia t16,0.00020553,0.1929,0.00023191,0.1929
70,130,symbia t-2008,0.00020553,0.1929,0.00023191,0.1929
70,140,infinia,0.00020507,0.1929,0.00024584,0.1929
70,140,optima ct540,0.00020808,0.1929,0.00024041,0.1929
75,80,symbia intevo 16,0.00019902,0.1879,0.00014525,0.1879
75,80,symbia intevo 2,0.00019902,0.1879,0.00014525,0.1879
75,80,optima ct540,0.00020752,0.1879,0.00015285,0.1879
75,80,symbia t6,0.00019902,0.1879,0.00014525,0.1879
75,80,symbia intevo 6,0.00019902,0.1879,0.00014525,0.1879
75,80,symbia t16,0.00019902,0.1879,0.00014525,0.1879
75,80,symbia t2,0.00019902,0.1879,0.00014525,0.1879
75,80,symbia t-2008,0.00019902,0.1879,0.00014525,0.1879
75,100,optima ct540,0.00020737,0.1879,0.00018332,0.1879
75,110,symbia t-2008,0.00019993,0.1879,0.00018668,0.1879
75,110,symbia intevo 6,0.00019993,0.1879,0.00018668,0.1879
75,110,symbia intevo 16,0.00019993,0.1879,0.00018668,0.1879
75,110,symbia t2,0.00019993,0.1879,0.00018668,0.1879
75,110,symbia intevo 2,0.00019993,0.1879,0.00018668,0.1879
75,110,symbia t6,0.00019993,0.1879,0.00018668,0.1879
75,110,symbia t16,0.00019993,0.1879,0.00018668,0.1879
